"City","latitude","longitude","AvgSalary","AvgRating"
"Melbourne",-37.8136,144.9631,92928.8633333333,3.917
"Sydney",-33.8688,151.2093,107033.873563218,4.03812260536398
"Perth",-31.9523,115.8613,98192.9124087591,3.8
"Adelaide",-34.9285,138.6007,98373.1545454545,3.93363636363636
"Brisbane",-27.4705,153.026,92077.6726190476,3.84464285714286
"Gold Coast",-28.0167,153.4,84590.0833333333,3.14166666666667
